개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
3230000,323000001020030007,20030507,,03,폐업,0002,폐업,20200831,,,,402-9119,207,,서울특별시 송파구 오금동 95-1 이화빌딩 ,서울특별시 송파구 중대로 320, 이화빌딩 1층 (오금동),05720,준동물병원,20200831143731,U,2020-09-02 02:40:00.0,,211776.359911923    ,445161.729493138    ,동물병원,,,000,
3230000,323000001020030008,20030605,,03,폐업,0002,폐업,20030605,,,,,0,,서울특별시 송파구 방이동 114-5번지 ,서울특별시 송파구 오금로 169 (방이동),,패미페츠동물병원,20030618103438,I,2018-08-31 23:59:59.0,,209966.384911558    ,445301.767746638    ,동물병원,,,000,
3230000,323000001020030009,20030610,,03,폐업,0002,폐업,20031204,,,,413-7119,0,,서울특별시 송파구 방이동 114-5  번지 1.2층 ,,,(주)패미페츠동물병원,20031204170220,I,2018-08-31 23:59:59.0,,,,동물병원,,,L00,
3230000,323000001020030010,20030218,,03,폐업,0002,폐업,20030607,,,,,120,,서울특별시 송파구 방이동 114-5  번지 ,,,패미페츠동물병원,20030612175039,I,2018-08-31 23:59:59.0,,,,동물병원,,,,
3230000,323000001020030011,20030604,,03,폐업,0002,폐업,20030605,,,,,0,,서울특별시 송파구 방이동 114-5  번지 ,,,패미페츠동물병원,20030616112756,I,2018-08-31 23:59:59.0,,,,동물병원,,,,
3230000,323000001020030012,20030604,,03,폐업,0002,폐업,20030605,,,,413-7119,0,,서울특별시 송파구 방이동 114-5번지 ,서울특별시 송파구 오금로 169 (방이동),,페미페츠동물병원,20150730200517,I,2018-08-31 23:59:59.0,,209966.384911558    ,445301.767746638    ,동물병원,,,000,
3230000,323000001020030013,20030605,,03,폐업,0002,폐업,20030605,,,,413-7119,123,,서울특별시 송파구 방이동 114-5  번지 ,,,페미페츠동물병원,20030618102157,I,2018-08-31 23:59:59.0,,,,동물병원,,,,
3230000,323000001020030014,20030730,,03,폐업,0002,폐업,20120917,,,,420-8133,0,,서울특별시 송파구 송파동 143-7번지 ,서울특별시 송파구 백제고분로46길 41-12 (송파동),,(주)한국동물임상연구소,20120917170004,I,2018-08-31 23:59:59.0,,210174.7731322      ,445002.235824616    ,동물병원,,,L00,
3230000,323000001020030017,20031209,,03,폐업,0002,폐업,20041213,,,,413-7119,0,,,충청남도 예산군 예산읍 아리랑로 93-10, 109동 1층 3호,32432,(주)패미프랜동물병원,20150728161311,I,2018-08-31 23:59:59.0,,185783.285028       ,354066.533695       ,동물병원,,,L00,
3230000,323000001020040001,20040203,,01,영업/정상,0000,정상,,,,,409-7533,149,,서울특별시 송파구 가락동 175-14번지 연암빌딩 ,서울특별시 송파구 오금로 422, 연암빌딩 1층 (가락동),05770,에버펫 동물병원,20191213105004,U,2019-12-15 02:40:00.0,,212024.630462535    ,443845.004858293    ,동물병원,,,000,
3230000,323000001020040002,20040821,,03,폐업,0002,폐업,20090219,,,,3401-7588,70,,서울특별시 송파구 문정동 11-8번지 지상1층 ,서울특별시 송파구 송이로32길 16 (문정동,지상1층),,서울동물병원,20150729171525,I,2018-08-31 23:59:59.0,,211216.876756012    ,442963.927571132    ,동물병원,,,000,
3230000,323000001020040003,20040913,,03,폐업,0002,폐업,20120227,,,,428-8778,44,,서울특별시 송파구 문정동 150-2번지 지하3층 ,서울특별시 송파구 중대로 80 (문정동,지하3층),,펫,알엔티 동물병원,20150730200824,I,2018-08-31 23:59:59.0,,210343.699256005    ,443288.284974717    ,동물병원,,,000,
3230000,323000001020040004,20041013,,01,영업/정상,0000,정상,,,,,415-7114,296.69,,서울특별시 송파구 송파동 146-6 ,서울특별시 송파구 가락로 210, 1층 101호 (송파동),05671,송이종합동물병원,20210621161659,U,2021-06-23 02:40:00.0,,210230.922086605    ,444982.623341455    ,동물병원,,,000,
3230000,323000001020040005,20041122,,01,영업/정상,0000,정상,,,,,02-470-7905,0,,서울특별시 송파구 풍납동 403-9 웅산빌딩,서울특별시 송파구 올림픽로47길 20, 웅산빌딩 (풍납동),05537,씨밀레동물병원,20220715133931,U,2021-12-06 23:07:00.0,,210247.717092457,447380.181370712,,,,,
3230000,323000001020050001,20050124,,03,폐업,0002,폐업,20111209,,,,412-5657,0,,서울특별시 송파구 방이동 212-19번지 지상1층 ,서울특별시 송파구 오금로31길 41 (방이동,지상1층),,오륜동물병원,20140129111437,I,2018-08-31 23:59:59.0,,210816.203512453    ,445257.516834589    ,동물병원,,,000,
3230000,323000001020050002,20050506,,03,폐업,0002,폐업,20061211,,,,,0,,서울특별시 송파구 송파동 162번지 삼성레미안(아)상가 101동 106호 ,서울특별시 송파구 오금로32길 14 (송파동,삼성레미안(아)상가 101동 106호),,사랑가득동물병원,20150729171016,I,2018-08-31 23:59:59.0,,210423.60497199     ,444729.592842278    ,동물병원,,,000,
3230000,323000001020050003,20050526,,03,폐업,0002,폐업,20110715,,,,2203-0049,64.8,,서울특별시 송파구 잠실동 40번지 지하 136-11 ,서울특별시 송파구 올림픽로 212 (잠실동,지하 136-11),,쿨펫동물병원,20150730195549,I,2018-08-31 23:59:59.0,,208233.926974585    ,445435.257647797    ,동물병원,,,000,
3230000,323000001020050004,20051026,,03,폐업,0002,폐업,20080820,,,,3431-6007,0,,서울특별시 송파구 석촌동 1-1번지 신동아로잔뷰 상가 114호 ,,,로잔동물병원,20150728180559,I,2018-08-31 23:59:59.0,,208570.23058604     ,444895.883501208    ,동물병원,,,000,
