등록번호,영업종류,영업장명칭,지번주소,도로명주소
5350000-048-2018-0101,동물위탁관리업,개털깎는여자,경상남도 김해시 외동 1244-5 ,"경상남도 김해시 금관대로1180번길 57-1, 1층 (외동)"
5350000-048-2018-0103,동물위탁관리업,멍뭉이 이발소,경상남도 김해시 진영읍 진영리 1592-14 ,경상남도 김해시 진영읍 김해대로321번길 13
5350000-048-2018-0106,동물위탁관리업,아멘다 펫살롱,경상남도 김해시 삼계동 1460-3 ,"경상남도 김해시 가야로 163, 202호 (삼계동)"
5350000-048-2019-0002,동물위탁관리업,강아지 똥,경상남도 김해시 내동 1143-3 ,"경상남도 김해시 내외중앙로 72, 스카이빌 2층 (내동)"
5350000-048-2019-0005,동물위탁관리업,펫브릿지 김해점,경상남도 김해시 삼계동 1507-7 ,"경상남도 김해시 삼계로51번길 16, 2층 (삼계동)"
5350000-048-2019-0006,동물위탁관리업,장보는 강아지와 고양이(김해진영점),경상남도 김해시 진영읍 진영리 796-2 ,경상남도 김해시 진영읍 진산대로 213
5350000-048-2019-0009,동물위탁관리업,개쌀롱,경상남도 김해시 삼문동 1266 ,"경상남도 김해시 장유로334번길 85, 101호 (삼문동)"
5350000-048-2019-0014,동물위탁관리업,야옹아멍멍해봐 장유점,경상남도 김해시 대청동 302-1 ,경상남도 김해시 번화1로 46 (대청동)
5350000-048-2019-0017,동물위탁관리업,도그어바웃,경상남도 김해시 삼방동 202-4 ,경상남도 김해시 삼안로 200 (삼방동)
5350000-048-2019-0018,동물위탁관리업,피터펫,경상남도 김해시 삼계동 1446-2 ,경상남도 김해시 가야로157번길 5-18 (삼계동)
5350000-048-2019-0021,동물위탁관리업,포텐독(POTENDOG),경상남도 김해시 삼계동 1451-11 ,"경상남도 김해시 가야로157번길 31-17, 1층 (삼계동)"
5350000-048-2019-0027,동물위탁관리업,그랜드 동물병원,경상남도 김해시 율하동 1352-1 ,"경상남도 김해시 율하1로 110, 201호 (율하동)"
5350000-048-2019-0029,동물위탁관리업,망고 애견,경상남도 김해시 대청동 332-4 대청프라자 ,"경상남도 김해시 대청로 117, 대청프라자 A동 105호 (대청동)"
5350000-048-2019-0031,동물위탁관리업,개밥주는언니,경상남도 김해시 삼정동 69-1 ,경상남도 김해시 분성로 466 (삼정동)
5350000-048-2019-0038,동물위탁관리업,#grooming,경상남도 김해시 율하동 1359-11 ,"경상남도 김해시 율하3로8번길 32, 1층 (율하동)"
5350000-048-2019-0039,동물위탁관리업,댕냥이살롱,경상남도 김해시 관동동 1063-9 ,경상남도 김해시 율하2로3번길 13 (관동동)
5350000-048-2019-0056,동물위탁관리업,애견1번지,경상남도 김해시 동상동 768 ,"경상남도 김해시 호계로 492, 1층 (동상동)"
5350000-048-2019-0061,동물위탁관리업,산들 강아지,경상남도 김해시 관동동 1108-4 ,"경상남도 김해시 율하3로 109, 103호 (관동동)"
5350000-048-2020-0006,동물위탁관리업,도그패밀리,경상남도 김해시 삼방동 666-8 ,"경상남도 김해시 삼안로 247, 1층 (삼방동)"
5350000-048-2020-0008,동물위탁관리업,꿈꾸는 강아지,경상남도 김해시 관동동 475-14 ,"경상남도 김해시 덕정로204번길 16, 1층 (관동동)"
5350000-048-2020-0011,동물위탁관리업,DOG BINI(도그비니),경상남도 김해시 대청동 330-14 ,경상남도 김해시 반룡로4번길 11-7 (대청동)
5350000-048-2020-0015,동물위탁관리업,엔젤인독스,경상남도 김해시 진영읍 여래리 969-1 ,"경상남도 김해시 진영읍 본산로 15-17, 1층 118호"
5350000-048-2020-0037,동물위탁관리업,율하 위드동물병원,경상남도 김해시 장유동 875-4 ,경상남도 김해시 율하로 476 (장유동)
5350000-048-2020-0041,동물위탁관리업,파티펫,경상남도 김해시 삼문동 1266 ,"경상남도 김해시 장유로334번길 75, 131동 103호 (삼문동)"
5350000-048-2020-0044,동물위탁관리업,놀이터 반려견 미용실,경상남도 김해시 진영읍 진영리 1731-5 ,경상남도 김해시 진영읍 장등1로31번길 4-17
5350000-048-2020-0046,동물위탁관리업,살롱드몽몽,경상남도 김해시 관동동 1088-3 ,"경상남도 김해시 관동로 83, 1층 (관동동)"
5350000-048-2020-0048,동물위탁관리업,마이리틀메이트,경상남도 김해시 관동동 1099-2 ,"경상남도 김해시 관동로 92, 4층 (관동동)"
5350000-048-2020-0051,동물위탁관리업,세븐카페,경상남도 김해시 대청동 800-11 ,"경상남도 김해시 금관대로 187, 1층 (대청동)"
5350000-048-2021-0003,동물위탁관리업,PET#개스트하우스,경상남도 김해시 삼계동 1503-6 ,"경상남도 김해시 해반천로130번길 31, 2층 201호 (삼계동)"
5350000-048-2021-0009,동물위탁관리업,땡큐멍멍,경상남도 김해시 관동동 1110-12 ,"경상남도 김해시 율하카페길 101-9, 102호 (관동동)"
5350000-048-2021-0013,동물위탁관리업,라라퍼피,경상남도 김해시 부원동 171-7 ,"경상남도 김해시 김해대로 2433, 2층 (부원동)"
5350000-048-2021-0023,동물위탁관리업,댕댕포유,경상남도 김해시 관동동 282-1 ,"경상남도 김해시 관동로27번길 7, 102호 (관동동)"
5350000-048-2021-0028,동물위탁관리업,도그하우스,경상남도 김해시 삼계동 1490-6 ,경상남도 김해시 해반천로144번길 10(삼계동)
5350000-048-2021-0034,동물위탁관리업,콩이네살롱,경상남도 김해시 관동동 445-8 ,"경상남도 김해시 덕정로4번길 45-10, 1층 (관동동)"
5350000-048-2021-0038,동물위탁관리업,퍼피가든,경상남도 김해시 대청동 61-6 다인메디컬센타 101-2호,"경상남도 김해시 번화1로79번길 4, 다인메디컬센타 (대청동)"
5350000-048-2021-0041,동물위탁관리업,JM애견사업부,경상남도 김해시 관동동 445-1 ,"경상남도 김해시 덕정로12번길 42, 1층 (관동동)"
5350000-048-2022-0011,동물위탁관리업,버블펫쌀롱,경상남도 김해시 관동동 1107-9 ,"경상남도 김해시 율하카페길 105-39, 1층 (관동동)"
5350000-048-2022-0013,동물위탁관리업,Happy 애견샵,경상남도 김해시 진영읍 진영리 1640-9 ,"경상남도 김해시 진영읍 장등로10번길 59, 1층"
5350000-048-2022-0014,동물위탁관리업,카페 푸푸,경상남도 김해시 진영읍 본산리 76-4 ,"경상남도 김해시 진영읍 봉하로 110, 2층"
5350000-048-2022-0015,동물위탁관리업,반짝반짝내작은개,경상남도 김해시 관동동 1104-3 ,"경상남도 김해시 율하카페길 89-10, 1층 (관동동)"
5350000-048-2022-0016,동물위탁관리업,뽀숑뽀숑,경상남도 김해시 주촌면 선지리 664-9 ,경상남도 김해시 주촌면 선지로27번길 1
5350000-048-2022-0017,동물위탁관리업,다둥이네,경상남도 김해시 진영읍 진영리 1690 중흥에스클래시에코시티 상가동 103호,"경상남도 김해시 진영읍 진산대로 59-2, 중흥에스클래시에코시티 상가동 103호"
5350000-048-2022-0018,동물위탁관리업,프린세스 캣,경상남도 김해시 내동 159-14 ,"경상남도 김해시 금관대로 1317, 1층 (내동)"
5350000-048-2022-0019,동물위탁관리업,해피멍데이,경상남도 김해시 내동 171-2 ,"경상남도 김해시 금관대로1297번길 11-1, B동 1,2층 (내동)"
5350000-048-2022-0020,동물위탁관리업,구산동 강아지,경상남도 김해시 구산동 802-11 ,"경상남도 김해시 김해대로 1944, 1층 (구산동)"
5350000-049-2018-0004,동물미용업(일반),와르동물병원,경상남도 김해시 율하동 1352-1 ,"경상남도 김해시 율하1로 110, 201호 (율하동)"
5350000-049-2018-0006,동물미용업(일반),퍼스트독,경상남도 김해시 서상동 331-2 ,경상남도 김해시 분성로 290 (서상동)
5350000-049-2018-0008,동물미용업(일반),(주)이마트 김해점,경상남도 김해시 외동 1264 ,"경상남도 김해시 김해대로 2232, 1층 (외동)"
5350000-049-2018-0010,동물미용업(일반),어여쁘개,경상남도 김해시 어방동 331-6 ,경상남도 김해시 활천로166번길 33 (어방동)
