제조업체명,사료종류,성분등록번호,사료명,사료성분명,사료성분량,데이터기준일자
제주개과점,단미사료 (동물성-단백질류),PP6FF0010,육골포5,수분,25.9% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0010,육골포5,조회분,18.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40011,육골포6,조지방,29.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40011,육골포6,조단백질,32.3% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40011,육골포6,수분,14.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40011,육골포6,조회분,22.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,조지방,1.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,조단백질,16.1% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,수분,92.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,조섬유,0.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50006,혼합성단미사료6,조회분,1.0% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0011,육골포6,조지방,7.9% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0011,육골포6,조단백질,39.6% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0011,육골포6,수분,15.1% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0011,육골포6,조회분,5.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,조지방,6.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,조단백질,18.0% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,수분,84.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,조섬유,0.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50007,혼합성단미사료7,조회분,1.9% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0012,육골포7,조지방,7.2% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0012,육골포7,조단백질,42.1% 이상,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0012,육골포7,수분,27.6% 이하,2019-11-25
제주개과점,단미사료 (동물성-단백질류),PP6FF0012,육골포7,조회분,21.8% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50008,혼합성단미사료8,조지방,7.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50008,혼합성단미사료8,조단백질,11.2% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50008,혼합성단미사료8,수분,80.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50008,혼합성단미사료8,조섬유,1.2% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50008,혼합성단미사료8,조회분,1.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50009,혼합성단미사료9,조지방,9.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50009,혼합성단미사료9,조단백질,12.3% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50009,혼합성단미사료9,수분,74.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50009,혼합성단미사료9,조섬유,0.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50009,혼합성단미사료9,조회분,1.4% 이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0003,건어포,조지방,1%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0003,건어포,조단백질,73%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0003,건어포,수분,7%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0003,건어포,조회분,3%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0004,육포,조지방,5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0004,육포,조단백질,67%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0004,육포,수분,14%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0004,육포,조회분,9.5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0005,동물성단백질혼합분,조지방,3.5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0005,동물성단백질혼합분,조단백질,71%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0005,동물성단백질혼합분,수분,12%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0005,동물성단백질혼합분,조섬유,1%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (동물성-단백질류),PP6DD0005,동물성단백질혼합분,조회분,9.5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-채소류),PP6DD0006,당근,조단백질,4.2%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-채소류),PP6DD0006,당근,수분,11%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-채소류),PP6DD0006,당근,조섬유,9.2%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-채소류),PP6DD0006,당근,조회분,6%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-채소류),PP6DD0007,호박,조단백질,5.2%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-채소류),PP6DD0007,호박,수분,23%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-채소류),PP6DD0007,호박,조섬유,8.6%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-채소류),PP6DD0007,호박,조회분,6.3%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-서류),PP6DD0008,고구마,조단백질,3.2%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-서류),PP6DD0008,고구마,수분,16.5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-서류),PP6DD0008,고구마,조섬유,2.5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-과실류),PP6DD0009,사과,조단백질,1%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-과실류),PP6DD0009,사과,수분,5.7%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-과실류),PP6DD0009,사과,조섬유,5.2%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-과실류),PP6DD0009,사과,조회분,5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-과실류),PP6DD0010,배,조단백질,2.5%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-과실류),PP6DD0010,배,수분,10.5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-과실류),PP6DD0010,배,조섬유,9%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (식물성-과실류),PP6DD0010,배,조회분,6%이하,2019-11-25
미래식품이야기,단미사료 (동물성-곤충류),PP6FV0001,건조귀뚜라미,조지방,30% 이하,2019-11-25
미래식품이야기,단미사료 (동물성-곤충류),PP6FV0001,건조귀뚜라미,조단백질,50% 이상,2019-11-25
미래식품이야기,단미사료 (동물성-곤충류),PP6FV0001,건조귀뚜라미,수분,3.9% 이하,2019-11-25
미래식품이야기,단미사료 (동물성-곤충류),PP6FV0001,건조귀뚜라미,조회분,5% 이하,2019-11-25
제주댕댕스푼,단미사료 (동물성-단백질류),PP6FX0001,육포,조지방,45.1% 이하,2019-11-25
제주댕댕스푼,단미사료 (동물성-단백질류),PP6FX0001,육포,조단백질,25.3% 이상,2019-11-25
제주댕댕스푼,단미사료 (동물성-단백질류),PP6FX0001,육포,수분,14.7% 이하,2019-11-25
제주댕댕스푼,단미사료 (동물성-단백질류),PP6FX0001,육포,조회분,22% 이하,2019-11-25
제주댕댕스푼,단미사료 (동물성-단백질류),PP6FX0002,육포,조지방,23% 이하,2019-11-25
제주댕댕스푼,단미사료 (동물성-단백질류),PP6FX0002,육포,조단백질,47.6% 이상,2019-11-25
제주댕댕스푼,단미사료 (동물성-단백질류),PP6FX0002,육포,수분,24.1% 이하,2019-11-25
제주댕댕스푼,단미사료 (동물성-단백질류),PP6FX0002,육포,조회분,1% 이하,2019-11-25
